id,name,member_ids/id,parent_id/id,user_id/id,code,note
crm_case_section_Allemagne,Allemagne,"base.users_rju,base.users_gjo,base.users_dan,base.users_kko",,base.users_dhe,,
crm_case_section_Baden-Württemberg,Baden-Württemberg,base.users_dan,crm_case_section_Allemagne,base.users_dan,126,
crm_case_section_NordEst&Berlin,Nord Est & Berlin,base.users_rju,crm_case_section_Allemagne,base.users_rju,122,
crm_case_section_NordOuest,Nord Ouest,base.users_kko,crm_case_section_Allemagne,base.users_kko,127,NOORDRHEIN-WESTFALEN / NIEDERSACHSEN/ SCHESWIG-HOLSTEIN 
crm_case_section_Sud,Sud,base.users_gjo,crm_case_section_Allemagne,base.users_gjo,125,
crm_case_section_Autriche,Autriche,base.users_dke,,base.users_dke,152,
crm_case_section_Belgique,Belgique,"base.users_cfr,base.users_nda",,base.users_djm,,
crm_case_section_Flandres,Flandres,base.users_cfr,crm_case_section_Belgique,base.users_cfr,1,
crm_case_section_Wallonie,Wallonie,base.users_nda,crm_case_section_Belgique,base.users_nda,3,
crm_case_section_Danemark,Danemark,base.users_bal,,base.users_bal,214,
crm_case_section_France,France,"base.users_lmi,base.users_gro,base.users_mer,base.users_dgi",,base.users_djm,,
crm_case_section_Nord,Nord,base.users_mer,crm_case_section_France,base.users_mer,16,
crm_case_section_Paris&Périphérie,Paris & Périphérie,base.users_dgi,crm_case_section_France,base.users_dgi,27,
crm_case_section_Sud,Sud,base.users_lmi,crm_case_section_France,base.users_lmi,13,
crm_case_section_SudOuest&SudParis,Sud Ouest & Sud Paris,base.users_gro,crm_case_section_France,base.users_gro,142,
crm_case_section_Grande-Bretagne,Grande-Bretagne,"base.users_sbe,base.users_wto",,base.users_wto,133,
crm_case_section_Italie,Italie,,,base.users_dhe,,
crm_case_section_Venetie,Venetie,base.users_bne,crm_case_section_Italie,base.users_bne,223,
crm_case_section_Pays-Bas,Pays-Bas,base.users_sbe,,base.users_sbe,101,
crm_case_section_Pologne,Pologne,base.users_bmi,,base.users_bmi,218,
crm_case_section_Rome,Rome,base.users_ige,crm_case_section_Italie,base.users_ige,224,
crm_case_section_Export,Reste du Monde,base.users_dso,,base.users_dso,4,
