id,name
inner.material_75DNYLON,75D NYLON
inner.material_600DPOLYESTER,600D POLYESTER
inner.material_75DPOLYESTER,75D POLYESTER
inner.material_150DPOLYESTER,150D POLYESTER
inner.material_100%POLYESTER,100% POLYESTER
inner.material_SYNTHETIC,SYNTHETIC
inner.material_NONWOVEN,NON WOVEN
inner.material_TEXTILE,TEXTILE
inner.material_NEOPRENE,NEOPRENE
inner.material_TEXTILE(100%POLYESTER),TEXTILE (100% POLYESTER)
inner.material_SPLITLEATHER,SPLIT LEATHER
inner.material_METAL,METAL
inner.material_NAPPALEATHER,NAPPA LEATHER
