id,name
outer.material_1200DPOLYESTER,1200D POLYESTER
outer.material_840DNYLON,840D NYLON
outer.material_TEXTILE(1660DNYLON),TEXTILE (1660D NYLON)
outer.material_600DPOLYESTER,600D POLYESTER
outer.material_1680DNYLON,1680D NYLON
outer.material_FULLPC,FULL PC
outer.material_PCFILMEDABS,PC FILMED ABS
outer.material_ABSWITHDOUBLEPCFILMED,ABS WITH DOUBLE PC FILMED
outer.material_ABS,ABS
outer.material_POLYPROPYLENEINJECTE,POLYPROPYLENE INJECTE
outer.material_METAL,METAL
outer.material_420DNYLON,420D NYLON
outer.material_CRINKLEDNYLON,CRINKLED NYLON
outer.material_NYLON420D,NYLON 420D
outer.material_SYNTHETIC,SYNTHETIC
outer.material_NEOPRENE,NEOPRENE
outer.material_SPLITLEATHERCOATED,SPLIT LEATHER COATED
outer.material_SPLITLEATHER,SPLIT LEATHER
outer.material_NAPPALEATHER,NAPPA LEATHER
outer.material_TOPGRAINLEATHER,TOP GRAIN LEATHER
outer.material_ALUMINIUM,ALUMINIUM
outer.material_75DNYLON,75D NYLON
outer.material_NYLON75D,NYLON 75D
outer.material_PVC+POLYESTER,PVC+POLYESTER
outer.material_840DNYLON,840D NYLON
outer.material_POLYESTER600D,POLYESTER 600D
outer.material_1200DPOLYESTER,1200D POLYESTER
outer.material_100%POLYESTER,100% POLYESTER
outer.material_HYBRIDEPP/POLYESTER,HYBRIDEPP/POLYESTER
