id,section_id/id,user_id/id
res.partner_2LS,crm_case_section_Wallonie,base.users_nda
res.partner_3CIMPO,crm_case_section_Export,base.users_dso
res.partner_4OFFIC,crm_case_section_Flandres,base.users_cfr
res.partner_A4BURO,crm_case_section_Nord,base.users_mer
res.partner_AAC111,crm_case_section_Autriche,base.users_dke
res.partner_ABC,crm_case_section_Autriche,base.users_dke
res.partner_ABCPAP,crm_case_section_Wallonie,base.users_nda
res.partner_ABGROU,crm_case_section_Export,base.users_dso
res.partner_ABLBOU,crm_case_section_Nord,base.users_mer
res.partner_ABMODA,crm_case_section_Export,base.users_dso
res.partner_ABONNE,crm_case_section_Nord,base.users_mer
res.partner_ABOU,crm_case_section_Export,base.users_dso
res.partner_ABREGE,crm_case_section_Sud,base.users_lmi
res.partner_ABTELE,crm_case_section_Export,base.users_dso
res.partner_ACCESS,crm_case_section_Export,base.users_dso
res.partner_ACDABA,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_ACHTE1,crm_case_section_Flandres,base.users_cfr
res.partner_ACTEDE,crm_case_section_Pays-Bas,base.users_sbe
res.partner_ACTION,crm_case_section_Sud,base.users_lmi
res.partner_ACTIVD,crm_case_section_Nord,base.users_mer
res.partner_ACTOPR,crm_case_section_Export,base.users_dso
res.partner_ADALIS,crm_case_section_Nord,base.users_mer
res.partner_ADAM01,crm_case_section_Wallonie,base.users_nda
res.partner_ADAMSO,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_ADDECO,crm_case_section_Wallonie,base.users_nda
res.partner_ADDI,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_ADDL01,crm_case_section_Export,base.users_dso
res.partner_ADELAA,crm_case_section_Pays-Bas,base.users_sbe
res.partner_ADGROE,crm_case_section_Pays-Bas,base.users_sbe
res.partner_ADINTE,crm_case_section_Nord,base.users_mer
res.partner_ADMARO,crm_case_section_Sud,base.users_lmi
res.partner_ADMDIS,crm_case_section_Wallonie,base.users_nda
res.partner_ADOBE,crm_case_section_Export,base.users_dso
res.partner_ADONIS,crm_case_section_Wallonie,base.users_nda
res.partner_ADOURB,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_ADRIAA,crm_case_section_Pays-Bas,base.users_sbe
