id,name,categ_id/id,is_multi_variants,reference,old_reference,sale_ok,purchase_ok,metier_id/id,type,weight_net,list_price,state
product.template_A255001,PILOT CASE POLYESTER PLIANT,product.category_255001,True,A255001,255001,True,True,davidts.metier_Affaires,Stockable Product,1,20.4,Normal
product.template_A255999,SAC REPORTER HAUTEUR,product.category_255999,True,A255999,255999,True,True,davidts.metier_Affaires,Stockable Product,1,12.2,Normal
product.template_A259090,"CONFERENCIER ""MANHATTAN""",product.category_259090,True,A259090,259090,True,True,davidts.metier_Affaires,Stockable Product,1,16.8,Normal
product.template_A259101,"CARTABLE 41cm ""MANHATTAN""",product.category_259101,True,A259101,259101,True,True,davidts.metier_Affaires,Stockable Product,2,25.4,Normal
product.template_A259102,"CARTABLE 44cm ""MANHATTAN""",product.category_259102,True,A259102,259102,True,True,davidts.metier_Affaires,Stockable Product,2,26.6,Normal
product.template_A259305,"PILOT CASE ""MANHATTAN""",product.category_259305,True,A259305,259305,True,True,davidts.metier_Affaires,Stockable Product,4,49.8,Normal
product.template_A259344,"SAC ORDI FLB344 ""MANHATTAN""",product.category_259344,True,A259344,259344,True,True,davidts.metier_Affaires,Stockable Product,2,28,Normal
product.template_A259430,"SAC MESSENGER ""MANHATTAN""",product.category_259430,True,A259430,259430,True,True,davidts.metier_Affaires,Stockable Product,2,21.9,Normal
product.template_A259446,"SAC TROLLEY MULTIFONCTION ""MANHATTAN",product.category_259446,True,A259446,259446,True,True,davidts.metier_Affaires,Stockable Product,4,58.4,Normal
product.template_A259910,"SAC MULTIFONCTION ""MANHATTAN""",product.category_259910,True,A259910,259910,True,True,davidts.metier_Affaires,Stockable Product,2,37.9,Normal
product.template_A260220,"PORTE TRAVERS ""YORK""",product.category_260220,True,A260220,260220,True,True,davidts.metier_Affaires,Stockable Product,0,6.9,Normal
product.template_A260230,"SAC SERVIETTE SIMPLE ""YORK""",product.category_260230,True,A260230,260230,True,True,davidts.metier_Affaires,Stockable Product,0,13.9,Normal
product.template_A260250,"PORTE ORDINATEUR GRAND ""YORK""",product.category_260250,True,A260250,260250,True,True,davidts.metier_Affaires,Stockable Product,0,14.9,Normal
product.template_A260270,"SAC POSTIER  ""YORK""",product.category_260270,True,A260270,260270,True,True,davidts.metier_Affaires,Stockable Product,0,11.9,Normal
product.template_A261008,"COMPUTER BACKPACK 15.4"" (1680D NYLON)",product.category_261008,True,A261008,261008,True,True,davidts.metier_Affaires,Stockable Product,1,24.1,Normal
