id,name,dimension_id/id,sequence,code
davidts.product_variant_dimension_option_noir,noir,davidts.product_variant_dimension_type_couleur,1,01A
davidts.product_variant_dimension_option_bdx,bdx,davidts.product_variant_dimension_type_couleur,2,02A
davidts.product_variant_dimension_option_navy,navy,davidts.product_variant_dimension_type_couleur,3,03A
davidts.product_variant_dimension_option_beige,beige,davidts.product_variant_dimension_type_couleur,4,04A
davidts.product_variant_dimension_option_naturel,naturel,davidts.product_variant_dimension_type_couleur,5,05A
davidts.product_variant_dimension_option_cognac,cognac,davidts.product_variant_dimension_type_couleur,6,06A
davidts.product_variant_dimension_option_marron,marron,davidts.product_variant_dimension_type_couleur,7,07A
davidts.product_variant_dimension_option_brun,brun,davidts.product_variant_dimension_type_couleur,8,08A
davidts.product_variant_dimension_option_blanc,blanc,davidts.product_variant_dimension_type_couleur,9,09A
davidts.product_variant_dimension_option_ciel,ciel,davidts.product_variant_dimension_type_couleur,10,10A
davidts.product_variant_dimension_option_rose,rose,davidts.product_variant_dimension_type_couleur,11,11A
davidts.product_variant_dimension_option_argent,argent,davidts.product_variant_dimension_type_couleur,12,12A
davidts.product_variant_dimension_option_rouge,rouge,davidts.product_variant_dimension_type_couleur,14,14A
davidts.product_variant_dimension_option_jaune,jaune,davidts.product_variant_dimension_type_couleur,15,15A
davidts.product_variant_dimension_option_vert,vert,davidts.product_variant_dimension_type_couleur,16,16A
davidts.product_variant_dimension_option_roi,roi,davidts.product_variant_dimension_type_couleur,17,17A
davidts.product_variant_dimension_option_lilas,lilas,davidts.product_variant_dimension_type_couleur,18,18A
davidts.product_variant_dimension_option_turquoise,turquoise,davidts.product_variant_dimension_type_couleur,19,19A
davidts.product_variant_dimension_option_gris_clair,gris_clair,davidts.product_variant_dimension_type_couleur,20,20A
davidts.product_variant_dimension_option_vert_forêt_taupe,vert_forêt_taupe,davidts.product_variant_dimension_type_couleur,21,21A
davidts.product_variant_dimension_option_safari,safari,davidts.product_variant_dimension_type_couleur,22,22A
davidts.product_variant_dimension_option_orange,orange,davidts.product_variant_dimension_type_couleur,23,23A
davidts.product_variant_dimension_option_fushia,fushia,davidts.product_variant_dimension_type_couleur,24,24A
davidts.product_variant_dimension_option_noir+cognac,noir+cognac,davidts.product_variant_dimension_type_couleur,25,25A
davidts.product_variant_dimension_option_noir+rouge,noir+rouge,davidts.product_variant_dimension_type_couleur,26,26A
davidts.product_variant_dimension_option_noir+brun,noir+brun,davidts.product_variant_dimension_type_couleur,27,27A
davidts.product_variant_dimension_option_noir+vert,noir+vert,davidts.product_variant_dimension_type_couleur,28,28A
davidts.product_variant_dimension_option_violet,violet,davidts.product_variant_dimension_type_couleur,30,30A
davidts.product_variant_dimension_option_noir+bordeaux,noir+bordeaux,davidts.product_variant_dimension_type_couleur,31,31A
davidts.product_variant_dimension_option_beige+brun,beige+brun,davidts.product_variant_dimension_type_couleur,32,32A
davidts.product_variant_dimension_option_kaki,kaki,davidts.product_variant_dimension_type_couleur,33,33A
davidts.product_variant_dimension_option_gris_foncé,gris_foncé,davidts.product_variant_dimension_type_couleur,34,34A
davidts.product_variant_dimension_option_bordeaux+ocre,bordeaux+ocre,davidts.product_variant_dimension_type_couleur,35,35A
davidts.product_variant_dimension_option_hiver_vernis_blanc,hiver_vernis_blanc,davidts.product_variant_dimension_type_couleur,36,36A
davidts.product_variant_dimension_option_été_vernis_rouge,été_vernis_rouge,davidts.product_variant_dimension_type_couleur,37,37A
davidts.product_variant_dimension_option_ciel+marine,ciel+marine,davidts.product_variant_dimension_type_couleur,38,38A
davidts.product_variant_dimension_option_marine+blanc,marine+blanc,davidts.product_variant_dimension_type_couleur,39,39A
davidts.product_variant_dimension_option_marine+gris,marine+gris,davidts.product_variant_dimension_type_couleur,40,40A
davidts.product_variant_dimension_option_bleu+ocre,bleu+ocre,davidts.product_variant_dimension_type_couleur,41,41A
davidts.product_variant_dimension_option_orange,orange,davidts.product_variant_dimension_type_couleur,42,42A
davidts.product_variant_dimension_option_bronze,bronze,davidts.product_variant_dimension_type_couleur,43,43A
davidts.product_variant_dimension_option_noir+bordeaux+vert,noir+bordeaux+vert,davidts.product_variant_dimension_type_couleur,44,44A
davidts.product_variant_dimension_option_vr/ch,vr/ch,davidts.product_variant_dimension_type_couleur,45,45A
davidts.product_variant_dimension_option_bleu+ciel,bleu+ciel,davidts.product_variant_dimension_type_couleur,46,46A
davidts.product_variant_dimension_option_bleu+noir,bleu+noir,davidts.product_variant_dimension_type_couleur,47,47A
davidts.product_variant_dimension_option_assortis,assortis,davidts.product_variant_dimension_type_couleur,49,49A
davidts.product_variant_dimension_option_gris+rouge,gris+rouge,davidts.product_variant_dimension_type_couleur,50,50A
davidts.product_variant_dimension_option_bleu+vert,bleu+vert,davidts.product_variant_dimension_type_couleur,51,51A
