id,is_multi_variants,outer_material_id/id,inner_material_id/id
product.template_A255001,TRUE,outer.material_1200DPOLYESTER,inner.material_75DNYLON
product.template_A255999,TRUE,outer.material_840DNYLON,inner.material_75DNYLON
product.template_A259090,TRUE,outer.material_TEXTILE(1660DNYLON),inner.material_600DPOLYESTER
product.template_A259101,TRUE,outer.material_TEXTILE(1660DNYLON),inner.material_150DPOLYESTER
product.template_A259102,TRUE,outer.material_TEXTILE(1660DNYLON),inner.material_150DPOLYESTER
product.template_A259305,TRUE,outer.material_TEXTILE(1660DNYLON),inner.material_150DPOLYESTER
product.template_A259344,TRUE,outer.material_TEXTILE(1660DNYLON),inner.material_150DPOLYESTER
product.template_A259430,TRUE,outer.material_TEXTILE(1660DNYLON),inner.material_150DPOLYESTER
product.template_A259446,TRUE,outer.material_TEXTILE(1660DNYLON),inner.material_150DPOLYESTER
product.template_A259910,TRUE,outer.material_TEXTILE(1660DNYLON),inner.material_150DPOLYESTER
product.template_A260220,TRUE,outer.material_600DPOLYESTER,
product.template_A260230,TRUE,outer.material_600DPOLYESTER,
product.template_A260250,TRUE,outer.material_600DPOLYESTER,
product.template_A260260,TRUE,outer.material_600DPOLYESTER,
product.template_A260270,TRUE,outer.material_600DPOLYESTER,
product.template_A261008,TRUE,outer.material_1680DNYLON,inner.material_75DPOLYESTER
product.template_A261032,TRUE,outer.material_1680DNYLON,inner.material_150DPOLYESTER
product.template_A261033,TRUE,outer.material_1680DNYLON,inner.material_75DPOLYESTER
product.template_A261060,TRUE,outer.material_1680DNYLON,inner.material_75DPOLYESTER
product.template_A261113,TRUE,outer.material_1680DNYLON,inner.material_150DPOLYESTER
product.template_A261114,TRUE,outer.material_1680DNYLON,inner.material_75DPOLYESTER
product.template_A261118,TRUE,outer.material_1680DNYLON,inner.material_75DPOLYESTER
product.template_A261154,TRUE,outer.material_1680DNYLON,inner.material_75DPOLYESTER
product.template_A261295,TRUE,outer.material_1680DNYLON,inner.material_75DPOLYESTER
product.template_A261336,TRUE,outer.material_1680DNYLON,inner.material_75DPOLYESTER
product.template_A261342,TRUE,outer.material_1680DNYLON,inner.material_75DPOLYESTER
product.template_A261343,TRUE,outer.material_1680DNYLON,inner.material_75DPOLYESTER
product.template_A261344,TRUE,outer.material_1680DNYLON,inner.material_75DPOLYESTER
product.template_A261347,TRUE,outer.material_1680DNYLON,inner.material_75DPOLYESTER
product.template_A261700,TRUE,outer.material_1680DNYLON,inner.material_75DPOLYESTER
product.template_A261853,TRUE,outer.material_1680DNYLON,inner.material_75DPOLYESTER
product.template_V262325,TRUE,outer.material_600DPOLYESTER,inner.material_100%POLYESTER
product.template_V267020,TRUE,outer.material_FULLPC,inner.material_100%POLYESTER
product.template_V267030,TRUE,outer.material_PCFILMEDABS,inner.material_100%POLYESTER
product.template_V267040,TRUE,outer.material_PCFILMEDABS,inner.material_100%POLYESTER
product.template_V267050,TRUE,outer.material_FULLPC,inner.material_100%POLYESTER
product.template_V267060,TRUE,outer.material_ABSWITHDOUBLEPCFILMED,inner.material_100%POLYESTER
product.template_V267064,TRUE,outer.material_ABS,inner.material_100%POLYESTER
product.template_V267070,TRUE,outer.material_FULLPC,inner.material_100%POLYESTER
product.template_V267090,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267100A,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267101,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267102,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267103,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267104,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267105,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267120A,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267121,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267122,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267123,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267130,TRUE,outer.material_HYBRIDEPP/POLYESTER,inner.material_100%POLYESTER
product.template_V267131,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267132,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267133,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267140A,TRUE,outer.material_HYBRIDEPP/POLYESTER,inner.material_100%POLYESTER
product.template_V267141,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267142,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267143,TRUE,outer.material_POLYPROPYLENEINJECTE,inner.material_100%POLYESTER
product.template_V267149,TRUE,outer.material_ABS,inner.material_100%POLYESTER
product.template_V268451,TRUE,outer.material_ABS,inner.material_75DNYLON
product.template_V269131,TRUE,outer.material_ABS,inner.material_100%POLYESTER
product.template_V269142,TRUE,outer.material_METAL,
product.template_V269199,TRUE,outer.material_600DPOLYESTER,inner.material_100%POLYESTER
product.template_V269200,TRUE,outer.material_600DPOLYESTER,inner.material_100%POLYESTER
product.template_V269201,TRUE,outer.material_600DPOLYESTER,inner.material_100%POLYESTER
product.template_V269203,TRUE,outer.material_600DPOLYESTER,inner.material_100%POLYESTER
product.template_V269204,TRUE,outer.material_600DPOLYESTER,inner.material_100%POLYESTER
product.template_V269205,TRUE,outer.material_600DPOLYESTER,inner.material_100%POLYESTER
product.template_V269206,TRUE,outer.material_600DPOLYESTER,inner.material_100%POLYESTER
product.template_V269207,TRUE,outer.material_600DPOLYESTER,inner.material_100%POLYESTER
product.template_V269208,TRUE,outer.material_600DPOLYESTER,inner.material_100%POLYESTER
product.template_V269209,TRUE,outer.material_600DPOLYESTER,inner.material_100%POLYESTER
product.template_V269223,TRUE,outer.material_600DPOLYESTER,inner.material_100%POLYESTER
product.template_V269254,TRUE,outer.material_1200DPOLYESTER,inner.material_100%POLYESTER
product.template_V269270,TRUE,outer.material_ABS,inner.material_100%POLYESTER
product.template_V269501,TRUE,outer.material_420DNYLON,inner.material_100%POLYESTER
product.template_V269532,TRUE,outer.material_ABS,inner.material_100%POLYESTER
product.template_V269533,TRUE,outer.material_ABS,inner.material_100%POLYESTER
product.template_V272001,TRUE,outer.material_CRINKLEDNYLON,inner.material_SYNTHETIC
product.template_V272003,TRUE,outer.material_CRINKLEDNYLON,inner.material_SYNTHETIC
product.template_V272201,TRUE,outer.material_CRINKLEDNYLON,inner.material_SYNTHETIC
product.template_V272206,TRUE,outer.material_CRINKLEDNYLON,inner.material_SYNTHETIC
product.template_V272207,TRUE,outer.material_CRINKLEDNYLON,inner.material_SYNTHETIC
product.template_V272208,TRUE,outer.material_CRINKLEDNYLON,inner.material_SYNTHETIC
product.template_V272230,TRUE,outer.material_CRINKLEDNYLON,inner.material_SYNTHETIC
product.template_V272235,TRUE,outer.material_CRINKLEDNYLON,inner.material_SYNTHETIC
product.template_V272240,TRUE,outer.material_CRINKLEDNYLON,inner.material_SYNTHETIC
product.template_V272245,TRUE,outer.material_CRINKLEDNYLON,inner.material_SYNTHETIC
product.template_V272355,TRUE,outer.material_CRINKLEDNYLON,inner.material_SYNTHETIC
product.template_V273001,TRUE,outer.material_NYLON420D,inner.material_100%POLYESTER
product.template_V273004,TRUE,outer.material_420DNYLON,inner.material_100%POLYESTER
product.template_V273500,TRUE,outer.material_420DNYLON,inner.material_100%POLYESTER
product.template_A280240,TRUE,outer.material_600DPOLYESTER,inner.material_75DNYLON
product.template_A280250,TRUE,outer.material_600DPOLYESTER,inner.material_75DNYLON
product.template_A282020,TRUE,outer.material_SYNTHETIC,inner.material_75DNYLON
product.template_A282024,TRUE,outer.material_SYNTHETIC,inner.material_75DNYLON
product.template_A282027,TRUE,outer.material_SYNTHETIC,inner.material_150DPOLYESTER
product.template_A282028,TRUE,outer.material_SYNTHETIC,inner.material_75DNYLON
product.template_A282043,TRUE,outer.material_SYNTHETIC,inner.material_NONWOVEN
product.template_A282119,TRUE,outer.material_SYNTHETIC,inner.material_75DNYLON
product.template_A282182,TRUE,outer.material_SYNTHETIC,inner.material_75DNYLON
product.template_A282183,TRUE,outer.material_SYNTHETIC,inner.material_75DNYLON
product.template_A282243,TRUE,outer.material_SYNTHETIC,inner.material_SYNTHETIC
product.template_A282264,TRUE,outer.material_SYNTHETIC,inner.material_SYNTHETIC
product.template_A282442,TRUE,outer.material_SYNTHETIC,inner.material_TEXTILE
product.template_A282541,TRUE,outer.material_SYNTHETIC,inner.material_NONWOVEN
product.template_A282600,TRUE,outer.material_SYNTHETIC,inner.material_600DPOLYESTER
product.template_A282601,TRUE,outer.material_SYNTHETIC,inner.material_600DPOLYESTER
product.template_A282650,TRUE,outer.material_SYNTHETIC,inner.material_600DPOLYESTER
product.template_A282660,TRUE,outer.material_SYNTHETIC,inner.material_600DPOLYESTER
product.template_A282730,TRUE,outer.material_SYNTHETIC,inner.material_600DPOLYESTER
product.template_A282802,TRUE,outer.material_SYNTHETIC,inner.material_SYNTHETIC
product.template_A282808,TRUE,outer.material_SYNTHETIC,inner.material_SYNTHETIC
product.template_A283008,TRUE,outer.material_NEOPRENE,inner.material_NEOPRENE
product.template_A283013,TRUE,outer.material_NEOPRENE,inner.material_NEOPRENE
product.template_A283015,TRUE,outer.material_NEOPRENE,inner.material_NEOPRENE
product.template_A283017,TRUE,outer.material_NEOPRENE,inner.material_NEOPRENE
product.template_B343173,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B343589,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B344200,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B344959,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B344965,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B344987,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B345959,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B345965,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B345987,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B346959,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B346965,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B347959,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B347965,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B347987,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B348100,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B348101,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B348102,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B348103,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B348751,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B349200,TRUE,outer.material_SYNTHETIC,inner.material_TEXTILE(100%POLYESTER)
product.template_B349205,TRUE,outer.material_SYNTHETIC,inner.material_TEXTILE(100%POLYESTER)
product.template_B349215,TRUE,outer.material_SYNTHETIC,inner.material_TEXTILE(100%POLYESTER)
product.template_B349220,TRUE,outer.material_SYNTHETIC,inner.material_TEXTILE(100%POLYESTER)
product.template_B349230,TRUE,outer.material_SYNTHETIC,inner.material_TEXTILE(100%POLYESTER)
product.template_B349400,TRUE,outer.material_SYNTHETIC,inner.material_TEXTILE(100%POLYESTER)
product.template_B349410,TRUE,outer.material_SYNTHETIC,inner.material_TEXTILE(100%POLYESTER)
product.template_B349420,TRUE,outer.material_SYNTHETIC,inner.material_TEXTILE(100%POLYESTER)
product.template_B349430,TRUE,outer.material_SYNTHETIC,inner.material_TEXTILE(100%POLYESTER)
product.template_B351159,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B354233,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B354244,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B354255,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B354266,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B354277,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B355110,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B355120,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B355130,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B355210,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B355220,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B355230,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B356697,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B356699,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B357142,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B357143,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B357200,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B357218,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B357343,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B357399,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B357613,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B357699,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B357801,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B357805,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B357810,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B360332,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B360755,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B360757,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B364519,TRUE,outer.material_SPLITLEATHERCOATED,inner.material_100%POLYESTER
product.template_B364734,TRUE,outer.material_SPLITLEATHERCOATED,inner.material_100%POLYESTER
product.template_B367133,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367200,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367201,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367227,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367228,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367288,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367289,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367301,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367458,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367504,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367511,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367533,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367641,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367692,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367730,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367731,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367732,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367733,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367734,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367753,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367754,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367811,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367822,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367828,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367833,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367844,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367933,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367944,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367959,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367965,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367987,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B367990,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B369173,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B369174,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B369178,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B378083,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378084,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378127,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378274,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378285,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378286,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378579,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378614,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378693,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378733,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378766,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378804,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378806,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378812,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378818,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378824,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378906,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B378912,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B390227,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B390228,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B390309,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B390320,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B390483,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B390484,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B390485,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_B390874,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_M425154,TRUE,outer.material_NAPPALEATHER,inner.material_100%POLYESTER
product.template_M425155,TRUE,outer.material_NAPPALEATHER,inner.material_100%POLYESTER
product.template_M425278,TRUE,outer.material_NAPPALEATHER,inner.material_100%POLYESTER
product.template_M425641,TRUE,outer.material_NAPPALEATHER,inner.material_100%POLYESTER
product.template_B431729,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_B431730,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
product.template_A460239,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_A460241,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_A460243,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_A460341,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_A460344,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_A460633,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_A460637,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_A460846,TRUE,outer.material_SPLITLEATHER,inner.material_100%POLYESTER
product.template_A461239,TRUE,outer.material_NAPPALEATHER,inner.material_100%POLYESTER
product.template_A461241,TRUE,outer.material_NAPPALEATHER,inner.material_100%POLYESTER
product.template_A461341,TRUE,outer.material_NAPPALEATHER,inner.material_100%POLYESTER
product.template_A461405,TRUE,outer.material_NAPPALEATHER,inner.material_100%POLYESTER
product.template_A461409,TRUE,outer.material_NAPPALEATHER,inner.material_100%POLYESTER
product.template_A461430,TRUE,outer.material_NAPPALEATHER,inner.material_100%POLYESTER
product.template_A461431,TRUE,outer.material_NAPPALEATHER,inner.material_100%POLYESTER
product.template_A461432,TRUE,outer.material_NAPPALEATHER,inner.material_100%POLYESTER
product.template_A462053,TRUE,outer.material_SPLITLEATHER,inner.material_75DNYLON
product.template_A462101,TRUE,outer.material_SPLITLEATHER,inner.material_75DNYLON
product.template_A462102,TRUE,outer.material_SPLITLEATHER,inner.material_75DNYLON
product.template_A462165,TRUE,outer.material_SPLITLEATHER,inner.material_75DNYLON
product.template_A463340,TRUE,outer.material_TOPGRAINLEATHER,inner.material_100%POLYESTER
product.template_A463633,TRUE,outer.material_TOPGRAINLEATHER,inner.material_100%POLYESTER
product.template_A464339,TRUE,outer.material_TOPGRAINLEATHER,inner.material_100%POLYESTER
product.template_A464340,TRUE,outer.material_TOPGRAINLEATHER,inner.material_100%POLYESTER
product.template_A464341,TRUE,outer.material_TOPGRAINLEATHER,inner.material_100%POLYESTER
product.template_A464700,TRUE,outer.material_TOPGRAINLEATHER,inner.material_100%POLYESTER
product.template_A465372,TRUE,outer.material_ALUMINIUM,inner.material_75DNYLON
product.template_A465515,TRUE,outer.material_ALUMINIUM,inner.material_75DNYLON
product.template_M474028,TRUE,outer.material_SYNTHETIC,inner.material_75DNYLON
product.template_M474029,TRUE,outer.material_SYNTHETIC,inner.material_75DNYLON
product.template_M474030,TRUE,outer.material_SYNTHETIC,inner.material_75DNYLON
product.template_M474031,TRUE,outer.material_SYNTHETIC,inner.material_75DNYLON
product.template_M474033,TRUE,outer.material_SYNTHETIC,inner.material_75DNYLON
product.template_M474034,TRUE,outer.material_SYNTHETIC,inner.material_75DNYLON
product.template_M474035,TRUE,outer.material_SYNTHETIC,inner.material_75DNYLON
product.template_M476038,TRUE,outer.material_SPLITLEATHER,inner.material_SPLITLEATHER
product.template_M476039,TRUE,outer.material_SPLITLEATHER,inner.material_SPLITLEATHER
product.template_M476040,TRUE,outer.material_SPLITLEATHER,inner.material_SPLITLEATHER
product.template_M476041,TRUE,outer.material_SPLITLEATHER,inner.material_SPLITLEATHER
product.template_M476042,TRUE,outer.material_SPLITLEATHER,inner.material_SPLITLEATHER
product.template_M476112,TRUE,outer.material_SPLITLEATHER,inner.material_SPLITLEATHER
product.template_M476440,TRUE,outer.material_SPLITLEATHER,inner.material_SPLITLEATHER
product.template_M484012,TRUE,outer.material_TOPGRAINLEATHER,inner.material_100%POLYESTER
product.template_M484019,TRUE,outer.material_TOPGRAINLEATHER,inner.material_100%POLYESTER
product.template_M484121,TRUE,outer.material_TOPGRAINLEATHER,inner.material_100%POLYESTER
product.template_M484122,TRUE,outer.material_TOPGRAINLEATHER,inner.material_100%POLYESTER
product.template_G498033,TRUE,outer.material_SYNTHETIC,inner.material_100%POLYESTER
