id,name,code,country_id/id
res.state_SACHSEN,SACHSEN,SAC,base.de
res.state_BRANDENBURG,BRANDENBURG,BRA,base.de
res.state_HESSEN,HESSEN,HES,base.de
res.state_RHEINLAND-PFALZ,RHEINLAND-PFALZ,RHE,base.de
res.state_THÜRINGEN,THÜRINGEN,THÜ,base.de
res.state_BADEN-WÜRTTEMBERG,BADEN-WÜRTTEMBERG,BAD,base.de
res.state_BAYERN,BAYERN,BAY,base.de
res.state_SACHSEN-ANHALT,SACHSEN-ANHALT,SAA,base.de
res.state_HAMBURG,HAMBURG,HAM,base.de
res.state_NORDRHEIN-WESTFALEN,NORDRHEIN-WESTFALEN,NOR,base.de
res.state_MECKLENBURG,MECKLENBURG,MEC,base.de
res.state_BERLIN,BERLIN,BER,base.de
res.state_SAARLAND,SAARLAND,SAA,base.de
res.state_NIEDERSACHSEN,NIEDERSACHSEN,NIE,base.de
res.state_SCHLESWIG-HOLSTEIN,SCHLESWIG-HOLSTEIN,SCH,base.de
