id,name,active,is_company,state_id/id,street,street2,zip,city,country_id/id,property_payment_term/id,phone,fax,email,website,ref,lang,sageecommerce,pwecommerce,property_account_position
res.partner_2LS,2.LS,True,True,,RUE DES SEMAILLES 23/2,,4400,FLEMALLE,base.be,account_payment_term.30joursnet,04 2223823,04 2223669,,www.2ls.be,2LS,French / Français,2LS,pesib924,Régime National
res.partner_3CIMPO,3C IMPORT SARL,True,True,,93 ALLEE DES MELIAS AIN SEBAA,,20250,CASABLANCA,base.ma,account_payment_term.ttbeforeshipment,,,,,3CIMPO,English,3CIMPO,poril165,Régime Extra-Communautaire
res.partner_4OFFIC,4 OFFICE BVBA,True,True,,KOUTERLOS 6,,9620,ZOTTEGEM,base.be,account_payment_term.30joursnet,0032 93603471,0032 92701536,info@4office.be,,4OFFIC,Dutch / Nederlands,4OFFIC,surel206,Régime National
res.partner_A4BURO,SOCIETE A4 BURO +,True,True,,"5, RUE GUSTAVE EIFFEL",,22360,LANGUEUX,base.fr,account_payment_term.60joursfindemois,0033 608019567,,a4-langueux-commercial@wanadoo.fr,,A4BURO,French / Français,A4BURO,ciqid509,Régime Intra-Communautaire
res.partner_AAC111,AAC HANDELSG. GMBH,True,True,,PERFEKTA STRASSE 86,,1230,WIEN,base.at,account_payment_term.30joursnet,0043 1522043311,0043 1522699185,,,AAC111,English,AAC111,bopof771,Régime Intra-Communautaire
res.partner_ABC,ABC LEDERWAREN,True,True,,PRATER STRASSE 50,,1020,WIEN,base.at,account_payment_term.30joursnet,0043 19255250,,,,ABC,English,ABC,piqas069,Régime Intra-Communautaire
res.partner_ABCPAP,A.B.C. PAPETERIE,True,True,,"RUE LAMBERTS, 3",,4840,WELKENRAEDT,base.be,account_payment_term.30joursnet,087 881341,087 883557,,,ABCPAP,French / Français,ABCPAP,noxix843,Régime National
res.partner_ABGROU,AB GROUPE,True,True,,"132, AVENUE DU PRESIDENT WILSON",,93213,SAINT DENIS LA PLAINE,base.fr,account_payment_term.60joursfindemois,0033 149222216,0033 149222291,,,ABGROU,French / Français,ABGROU,xejeb002,Régime Intra-Communautaire
res.partner_ABLBOU,ABL BOULTIQUE SARL - MAROQ. SAVINEL,True,True,,CC GRAND QUARTIER,,35760,SAINT GREGOIRE,base.fr,account_payment_term.60joursfindemois,,,,,ABLBOU,French / Français,ABLBOU,dixij059,Régime Intra-Communautaire
res.partner_ABMODA,A&B MODA SAS,True,True,,CORSO CAVOUR 66,,19121,LA SPEZIA,base.it,account_payment_term.30joursnet,0039 187753788,0039 187753788,aleemarty@hotmail.it,,ABMODA,English,ABMODA,sovup438,Régime Intra-Communautaire
res.partner_ABONNE,MAROQUINERIE R. ABOMNES,True,True,,"18, QUAI DE CHARLES DE GAULLE",,29150,CHATEAULIN,base.fr,account_payment_term.60joursfindemois,0033 298861161,,,,ABONNE,French / Français,ABONNE,navob094,Régime Intra-Communautaire
res.partner_ABOU,GEORGES ABOU ARRAGE,True,True,,P.O.B. 16/6833,,6833,BEYROUTH,base.lb,account_payment_term.ttbeforeshipment,961 1584743,961 1585837,,,ABOU,French / Français,ABOU,ditec273,Régime Extra-Communautaire
