id,is_multi_variants,dimension_type_ids/id,value_ids/option_id/id
product.template_A255001,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A255999,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A255999,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_gris_foncé
product.template_A259090,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A259090,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_gris_foncé
product.template_A259101,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A259101,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_gris_foncé
product.template_A259102,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A259102,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_gris_foncé
product.template_A259305,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A259305,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_gris_foncé
product.template_A259344,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A259344,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_gris_foncé
product.template_A259430,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A259430,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_gris_foncé
product.template_A259446,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A259446,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_gris_foncé
product.template_A259910,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A259910,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_gris_foncé
product.template_A260220,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_roi
product.template_A260220,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_gris_clair
product.template_A260220,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_orange
product.template_A260230,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_roi
product.template_A260230,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_gris_clair
product.template_A260230,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_orange
product.template_A260250,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_roi
product.template_A260250,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_gris_clair
product.template_A260250,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_orange
product.template_A260270,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_roi
product.template_A260270,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_gris_clair
product.template_A260270,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_orange
product.template_A261008,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A261032,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A261033,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A261060,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A261113,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A261114,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A261118,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A261154,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A261295,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A261336,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A261342,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A261343,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A261344,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A261347,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A261700,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_A261853,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_V262325,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_cognac
product.template_V262325,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_brun
product.template_V262325,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_rouge
product.template_V267020,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_V267020,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_bdx
product.template_V267030,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_noir
product.template_V267030,TRUE,davidts.product_variant_dimension_type_couleur,davidts.product_variant_dimension_option_violet
