id,is_multi_variants,taxes_id,supplier_taxes_id
product.template_A255001,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A255999,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A259090,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A259101,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A259102,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A259305,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A259344,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A259430,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A259446,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A259910,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A260220,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A260230,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A260250,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A260270,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A261008,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A261032,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A261033,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A261060,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A261113,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A261114,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A261118,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A261154,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A261295,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A261336,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A261342,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A261343,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A261344,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A261347,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
